name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
Malone,|~Shoot up to handstand and fall back to support, with % turn.,|~III,|~,|~E,|~0.5,|~135,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-3-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~135,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-3-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~135,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-4-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~135,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-4-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~135,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-4-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~135,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-4-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~135,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-4-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~135,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-135-row-4-col-6.png
,|~Cast to upper arm hang.,|~III,|~,|~A,|~0.1,|~134,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-134-row-1-col-1.png
,|~Cast to support. Soa oh Ǣ he,|~III,|~,|~B,|~0.2,|~134,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-134-row-1-col-2.png
,|~Felge with % t. to upper arm hang.,|~III,|~,|~C,|~0.3,|~134,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-134-row-1-col-3.png
,|~Felge with % t. to rear support.,|~III,|~,|~D,|~0.4,|~134,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-134-row-1-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~134,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-134-row-1-col-5.png
