name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~Giant swing rearways fwd. (Russian giant).,|~I,|~,|~C,|~0.3,|~147,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-4-col-3.png
,|~,|~I,|~,|~D,|~0.4,|~147,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-4-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~147,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-4-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~147,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-147-row-4-col-6.png
,|~,|~II,|~,|~A,|~0.1,|~153,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-1-col-1.png
,|~,|~II,|~,|~B,|~0.2,|~153,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-1-col-2.png
,|~,|~II,|~,|~C,|~0.3,|~153,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-1-col-3.png
,|~,|~II,|~,|~D,|~0.4,|~153,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-1-col-4.png
,|~,|~II,|~,|~E,|~0.5,|~153,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-1-col-5.png
Miyachi,|~Kovacs straight with 2/1 turn. Stal 7,|~II,|~,|~F/G/H,|~0.6,|~153,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-1-col-6.png
,|~,|~II,|~,|~A,|~0.1,|~153,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-2-col-1.png
,|~,|~II,|~,|~B,|~0.2,|~153,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-2-col-2.png
,|~,|~II,|~,|~C,|~0.3,|~153,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-2-col-3.png
,|~,|~II,|~,|~D,|~0.4,|~153,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-2-col-4.png
,|~,|~II,|~,|~E,|~0.5,|~153,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-2-col-5.png
Shaham,|~Kovacs with 3/2 t. to mix grip.,|~II,|~,|~F/G/H,|~0.6,|~153,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-2-col-6.png
,|~,|~II,|~,|~A,|~0.1,|~153,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-3-col-1.png
,|~,|~II,|~,|~B,|~0.2,|~153,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-3-col-2.png
,|~,|~II,|~,|~C,|~0.3,|~153,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-3-col-3.png
,|~,|~II,|~,|~D,|~0.4,|~153,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-3-col-4.png
,|~,|~II,|~,|~E,|~0.5,|~153,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-3-col-5.png
,|~,|~II,|~,|~F/G/H,|~0.6,|~153,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-3-col-6.png
,|~,|~II,|~,|~A,|~0.1,|~153,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-4-col-1.png
,|~,|~II,|~,|~B,|~0.2,|~153,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-4-col-2.png
,|~,|~II,|~,|~C,|~0.3,|~153,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-4-col-3.png
,|~,|~II,|~,|~D,|~0.4,|~153,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-4-col-4.png
,|~,|~II,|~,|~E,|~0.5,|~153,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-4-col-5.png
,|~,|~II,|~,|~F/G/H,|~0.6,|~153,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-153-row-4-col-6.png
