name,|~explanation,|~group,|~group_name,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~Scherbo entry to salto bwd. tucked.,|~IV,|~Round off entry vaults,|~,|~115,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-2-col-4.png
,|~Scherbo entry to salto bwd. piked.,|~IV,|~Round off entry vaults,|~,|~115,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-2-col-5.png
,|~Scherbo entry to salto bwd. tucked with % turn. con %g.,|~IV,|~Round off entry vaults,|~3.0,|~115,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-2-col-6.png
,|~Scherbo entry to salto bwd. tucked with 1/1 turn.,|~IV,|~Round off entry vaults,|~,|~115,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-3-col-1.png
,|~Scherbo entry to salto bwd. tucked with 3/2 turn.,|~IV,|~Round off entry vaults,|~,|~115,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-3-col-2.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-3-col-3.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-3-col-4.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-3-col-5.png
,|~,|~IV,|~Round off entry vaults,|~,|~115,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-3-col-6.png
Scherbo,|~Scherbo entry to salto bwd. straight.,|~IV,|~Round off entry vaults,|~,|~115,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-4-col-1.png
,|~8. Scherbo avec 7% t. Scherbo with ¥t. Scherbo con ¥% g.,|~IV,|~Round off entry vaults,|~,|~115,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-4-col-2.png
,|~39.Scherbo avec 1/1 t. Scherbo with 1/1 t. Scherbo con 1/1 g. a \ he,|~IV,|~Round off entry vaults,|~46,|~115,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-4-col-3.png
,|~0. Scherbo avec 3/2 t. Scherbo with 3/2 t. Scherbo con 3/2 g.,|~IV,|~Round off entry vaults,|~5.0,|~115,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-4-col-4.png
Shirai 3,|~Scherbo with 2/1 t. Scherbo con 2/1 g.,|~IV,|~Round off entry vaults,|~5.4,|~115,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-4-col-5.png
,|~‘2. Scherbo avec 5/2 t. Scherbo with 5/2 t. Scherbo con 5/2 g.,|~IV,|~Round off entry vaults,|~5.8,|~115,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-115-row-4-col-6.png
Roche,|~,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~,|~111,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-1-col-1.png
Dragulescu,|~Roche with % turn,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~,|~111,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-1-col-2.png
,|~,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~,|~111,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-1-col-3.png
Zimmerman,|~Handspring fwd. and salto fwd. t. w. 4 t. and,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~5.6,|~111,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-1-col-4.png
,|~,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~,|~111,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-1-col-5.png
,|~,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~,|~111,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-1-col-6.png
Blanik,|~,|~II,|~Renversements avant avec ou sans tours simples et tout double salto avant.- Handspring salto vaults with or without simple twists, and all double salto fwd.- Palomas con o sin giros y dobles mortales ad.,|~,|~111,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-111-row-2-col-1.png
