name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~90,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-4-col-3.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~90,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-4-col-4.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~90,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-4-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~90,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-90-row-4-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~91,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-1-col-1.png
,|~Vertical pull up with bent arms to hanging scale rearways (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~91,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-1-col-2.png
,|~Vertical pull up with straight arms to hanging scale rearways (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~91,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-1-col-3.png
,|~Slow Roll bwd. with-straight body to cross or | rr oral,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~91,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-1-col-4.png
Tay,|~Azarian to V Cross (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~91,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-1-col-5.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~91,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-1-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~91,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-2-col-1.png
,|~Fr. cross or L-cr., move fwd. to back lever (2s.).,|~II,|~Strength elements and hold elements (2 sec.),|~B,|~0.2,|~91,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-2-col-2.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~C,|~0.3,|~91,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-2-col-3.png
Nakayama,|~From or through hanging scale rearways, pull to cross or L-cross (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~D,|~0.4,|~91,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-2-col-4.png
NG Kiu Chung,|~,|~II,|~Strength elements and hold elements (2 sec.),|~E,|~0.5,|~91,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-2-col-5.png
,|~Through hanging scale rearways (no hold re- quired) pull with str. body through cross to inv. swallow (2 s.).,|~II,|~Strength elements and hold elements (2 sec.),|~F/G/H,|~0.6,|~91,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-2-col-6.png
,|~,|~II,|~Strength elements and hold elements (2 sec.),|~A,|~0.1,|~91,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-91-row-3-col-1.png
